grid_id,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9
130,"('Texas Rangers', 'Philadelphia Phillies')","('Texas Rangers', 'Seattle Mariners')","('Texas Rangers', '40+ HR Season Batting')","('Baltimore Orioles', 'Philadelphia Phillies')","('Baltimore Orioles', 'Seattle Mariners')","('Baltimore Orioles', '40+ HR Season Batting')","('Colorado Rockies', 'Philadelphia Phillies')","('Colorado Rockies', 'Seattle Mariners')","('Colorado Rockies', '40+ HR Season Batting')"
131,"('Atlanta Braves', 'Arizona Diamondbacks')","('Atlanta Braves', 'San Francisco Giants')","('Atlanta Braves', 'Miami Marlins')","('Chicago Cubs', 'Arizona Diamondbacks')","('Chicago Cubs', 'San Francisco Giants')","('Chicago Cubs', 'Miami Marlins')","('Cincinnati Reds', 'Arizona Diamondbacks')","('Cincinnati Reds', 'San Francisco Giants')","('Cincinnati Reds', 'Miami Marlins')"
132,"('3000+ K Career Pitching', '300+ Wins Career Pitching')","('3000+ K Career Pitching', 'New York Mets')","('3000+ K Career Pitching', 'Cy Young')","('Boston   Red Sox', '300+ Wins Career Pitching')","('Boston   Red Sox', 'New York Mets')","('Boston   Red Sox', 'Cy Young')","('Hall of Fame', '300+ Wins Career Pitching')","('Hall of Fame', 'New York Mets')","('Hall of Fame', 'Cy Young')"
133,"('Los Angeles Angels', 'Kansas City Royals')","('Los Angeles Angels', 'Los Angeles Dodgers')","('Los Angeles Angels', '.300+ AVG Season Batting')","('Detroit Tigers', 'Kansas City Royals')","('Detroit Tigers', 'Los Angeles Dodgers')","('Detroit Tigers', '.300+ AVG Season Batting')","('Milwaukee Brewers', 'Kansas City Royals')","('Milwaukee Brewers', 'Los Angeles Dodgers')","('Milwaukee Brewers', '.300+ AVG Season Batting')"
134,"('New York Yankees', 'Cleveland Guardians')","('New York Yankees', 'Washington Nationals')","('New York Yankees', '30+ SB Season')","('Tampa Bay Rays', 'Cleveland Guardians')","('Tampa Bay Rays', 'Washington Nationals')","('Tampa Bay Rays', '30+ SB Season')","('200+ Hits Season Batting', 'Cleveland Guardians')","('200+ Hits Season Batting', 'Washington Nationals')","('200+ Hits Season Batting', '30+ SB Season')"
135,"('Texas Rangers', 'Oakland Athletics')","('Texas Rangers', 'Baltimore Orioles')","('Texas Rangers', 'Silver Slugger')","('Toronto  Blue Jays', 'Oakland Athletics')","('Toronto  Blue Jays', 'Baltimore Orioles')","('Toronto  Blue Jays', 'Silver Slugger')","('3000+ Hits Career Batting', 'Oakland Athletics')","('3000+ Hits Career Batting', 'Baltimore Orioles')","('3000+ Hits Career Batting', 'Silver Slugger')"
136,"('Chicago  White Sox', 'San Diego Padres')","('Chicago  White Sox', 'St. Louis Cardinals')","('Chicago  White Sox', '20+ Win Season Pitching')","('Houston Astros', 'San Diego Padres')","('Houston Astros', 'St. Louis Cardinals')","('Houston Astros', '20+ Win Season Pitching')","('Pittsburgh Pirates', 'San Diego Padres')","('Pittsburgh Pirates', 'St. Louis Cardinals')","('Pittsburgh Pirates', '20+ Win Season Pitching')"
137,"('Philadelphia Phillies', 'Minnesota Twins')","('Philadelphia Phillies', 'Atlanta Braves')","('Philadelphia Phillies', 'All Star')","('Seattle Mariners', 'Minnesota Twins')","('Seattle Mariners', 'Atlanta Braves')","('Seattle Mariners', 'All Star')","('MVP', 'Minnesota Twins')","('MVP', 'Atlanta Braves')","('MVP', 'All Star')"
138,"('Colorado Rockies', 'Milwaukee Brewers')","('Colorado Rockies', 'Washington Nationals')","('Colorado Rockies', '100+ RBI Season Batting')","('Cincinnati Reds', 'Milwaukee Brewers')","('Cincinnati Reds', 'Washington Nationals')","('Cincinnati Reds', '100+ RBI Season Batting')","('New York Mets', 'Milwaukee Brewers')","('New York Mets', 'Washington Nationals')","('New York Mets', '100+ RBI Season Batting')"
139,"('All Star', 'Arizona Diamondbacks')","('All Star', 'New York Yankees')","('All Star', '30+ HR / 30+ SB Season Batting')","('.300+ AVG Season Batting', 'Arizona Diamondbacks')","('.300+ AVG Season Batting', 'New York Yankees')","('.300+ AVG Season Batting', '30+ HR / 30+ SB Season Batting')","('Gold Glove', 'Arizona Diamondbacks')","('Gold Glove', 'New York Yankees')","('Gold Glove', '30+ HR / 30+ SB Season Batting')"
140,"('Miami Marlins', 'San Diego Padres')","('Miami Marlins', 'Toronto  Blue Jays')","('Miami Marlins', '.300+ AVG Career Batting')","('Chicago Cubs', 'San Diego Padres')","('Chicago Cubs', 'Toronto  Blue Jays')","('Chicago Cubs', '.300+ AVG Career Batting')","('Boston   Red Sox', 'San Diego Padres')","('Boston   Red Sox', 'Toronto  Blue Jays')","('Boston   Red Sox', '.300+ AVG Career Batting')"
141,"('San Francisco Giants', 'Texas Rangers')","('San Francisco Giants', 'Detroit Tigers')","('San Francisco Giants', 'Los Angeles Dodgers')","('Cleveland Guardians', 'Texas Rangers')","('Cleveland Guardians', 'Detroit Tigers')","('Cleveland Guardians', 'Los Angeles Dodgers')","('St. Louis Cardinals', 'Texas Rangers')","('St. Louis Cardinals', 'Detroit Tigers')","('St. Louis Cardinals', 'Los Angeles Dodgers')"
142,"('Houston Astros', 'Chicago  White Sox')","('Houston Astros', 'Baltimore Orioles')","('Houston Astros', '40+ HR Season Batting')","('Los Angeles Angels', 'Chicago  White Sox')","('Los Angeles Angels', 'Baltimore Orioles')","('Los Angeles Angels', '40+ HR Season Batting')","('500+ HR Career Batting', 'Chicago  White Sox')","('500+ HR Career Batting', 'Baltimore Orioles')","('500+ HR Career Batting', '40+ HR Season Batting')"
143,"('Pittsburgh Pirates', 'Boston   Red Sox')","('Pittsburgh Pirates', 'Cincinnati Reds')","('Pittsburgh Pirates', '200+ K Season Pitching')","('Oakland Athletics', 'Boston   Red Sox')","('Oakland Athletics', 'Cincinnati Reds')","('Oakland Athletics', '200+ K Season Pitching')","('Atlanta Braves', 'Boston   Red Sox')","('Atlanta Braves', 'Cincinnati Reds')","('Atlanta Braves', '200+ K Season Pitching')"
144,"('Minnesota Twins', 'Kansas City Royals')","('Minnesota Twins', 'San Diego Padres')","('Minnesota Twins', '30+ SB Season')","('Philadelphia Phillies', 'Kansas City Royals')","('Philadelphia Phillies', 'San Diego Padres')","('Philadelphia Phillies', '30+ SB Season')","('Seattle Mariners', 'Kansas City Royals')","('Seattle Mariners', 'San Diego Padres')","('Seattle Mariners', '30+ SB Season')"
145,"('Milwaukee Brewers', 'Atlanta Braves')","('Milwaukee Brewers', 'Texas Rangers')","('Milwaukee Brewers', 'Hall of Fame')","('Washington Nationals', 'Atlanta Braves')","('Washington Nationals', 'Texas Rangers')","('Washington Nationals', 'Hall of Fame')","('Chicago Cubs', 'Atlanta Braves')","('Chicago Cubs', 'Texas Rangers')","('Chicago Cubs', 'Hall of Fame')"
146,"('40+ HR Season Batting', 'Toronto  Blue Jays')","('40+ HR Season Batting', '200+ Hits Season Batting')","('40+ HR Season Batting', 'Rookie of the Year')","('St. Louis Cardinals', 'Toronto  Blue Jays')","('St. Louis Cardinals', '200+ Hits Season Batting')","('St. Louis Cardinals', 'Rookie of the Year')","('All Star', 'Toronto  Blue Jays')","('All Star', '200+ Hits Season Batting')","('All Star', 'Rookie of the Year')"
147,"('San Francisco Giants', 'Chicago  White Sox')","('San Francisco Giants', 'Seattle Mariners')","('San Francisco Giants', '20+ Win Season Pitching')","('New York Mets', 'Chicago  White Sox')","('New York Mets', 'Seattle Mariners')","('New York Mets', '20+ Win Season Pitching')","('New York Yankees', 'Chicago  White Sox')","('New York Yankees', 'Seattle Mariners')","('New York Yankees', '20+ Win Season Pitching')"
148,"('Detroit Tigers', 'Arizona Diamondbacks')","('Detroit Tigers', 'Gold Glove')","('Detroit Tigers', 'Cy Young')","('Cleveland Guardians', 'Arizona Diamondbacks')","('Cleveland Guardians', 'Gold Glove')","('Cleveland Guardians', 'Cy Young')","('Oakland Athletics', 'Arizona Diamondbacks')","('Oakland Athletics', 'Gold Glove')","('Oakland Athletics', 'Cy Young')"
149,"('Los Angeles Dodgers', 'Miami Marlins')","('Los Angeles Dodgers', 'Texas Rangers')","('Los Angeles Dodgers', '3000+ Hits Career Batting')","('Los Angeles Angels', 'Miami Marlins')","('Los Angeles Angels', 'Texas Rangers')","('Los Angeles Angels', '3000+ Hits Career Batting')","('Boston   Red Sox', 'Miami Marlins')","('Boston   Red Sox', 'Texas Rangers')","('Boston   Red Sox', '3000+ Hits Career Batting')"
150,"('Baltimore Orioles', 'Cincinnati Reds')","('Baltimore Orioles', 'San Francisco Giants')","('Baltimore Orioles', '.300+ AVG Career Batting')","('Houston Astros', 'Cincinnati Reds')","('Houston Astros', 'San Francisco Giants')","('Houston Astros', '.300+ AVG Career Batting')","('San Diego Padres', 'Cincinnati Reds')","('San Diego Padres', 'San Francisco Giants')","('San Diego Padres', '.300+ AVG Career Batting')"
151,"('Minnesota Twins', 'Atlanta Braves')","('Minnesota Twins', 'New York Mets')","('Minnesota Twins', 'Chicago Cubs')","('Pittsburgh Pirates', 'Atlanta Braves')","('Pittsburgh Pirates', 'New York Mets')","('Pittsburgh Pirates', 'Chicago Cubs')","('Tampa Bay Rays', 'Atlanta Braves')","('Tampa Bay Rays', 'New York Mets')","('Tampa Bay Rays', 'Chicago Cubs')"
152,"('Washington Nationals', 'Seattle Mariners')","('Washington Nationals', 'Kansas City Royals')","('Washington Nationals', '40+ Save Season Pitching')","('St. Louis Cardinals', 'Seattle Mariners')","('St. Louis Cardinals', 'Kansas City Royals')","('St. Louis Cardinals', '40+ Save Season Pitching')","('Cleveland Guardians', 'Seattle Mariners')","('Cleveland Guardians', 'Kansas City Royals')","('Cleveland Guardians', '40+ Save Season Pitching')"
153,"('Silver Slugger', '40+ HR Season Batting')","('Silver Slugger', 'Colorado Rockies')","('Silver Slugger', 'MVP')","('New York Yankees', '40+ HR Season Batting')","('New York Yankees', 'Colorado Rockies')","('New York Yankees', 'MVP')","('.300+ AVG Season Batting', '40+ HR Season Batting')","('.300+ AVG Season Batting', 'Colorado Rockies')","('.300+ AVG Season Batting', 'MVP')"
154,"('Philadelphia Phillies', 'San Francisco Giants')","('Philadelphia Phillies', 'Washington Nationals')","('Philadelphia Phillies', 'Gold Glove')","('Milwaukee Brewers', 'San Francisco Giants')","('Milwaukee Brewers', 'Washington Nationals')","('Milwaukee Brewers', 'Gold Glove')","('Toronto  Blue Jays', 'San Francisco Giants')","('Toronto  Blue Jays', 'Washington Nationals')","('Toronto  Blue Jays', 'Gold Glove')"
155,"('Chicago Cubs', 'Chicago  White Sox')","('Chicago Cubs', 'Seattle Mariners')","('Chicago Cubs', '100+ RBI Season Batting')","('Los Angeles Dodgers', 'Chicago  White Sox')","('Los Angeles Dodgers', 'Seattle Mariners')","('Los Angeles Dodgers', '100+ RBI Season Batting')","('Detroit Tigers', 'Chicago  White Sox')","('Detroit Tigers', 'Seattle Mariners')","('Detroit Tigers', '100+ RBI Season Batting')"
156,"('Oakland Athletics', 'Philadelphia Phillies')","('Oakland Athletics', '40+ HR Season Batting')","('Oakland Athletics', 'Hall of Fame')","('Boston   Red Sox', 'Philadelphia Phillies')","('Boston   Red Sox', '40+ HR Season Batting')","('Boston   Red Sox', 'Hall of Fame')","('Cincinnati Reds', 'Philadelphia Phillies')","('Cincinnati Reds', '40+ HR Season Batting')","('Cincinnati Reds', 'Hall of Fame')"
157,"('Pittsburgh Pirates', 'Houston Astros')","('Pittsburgh Pirates', 'Colorado Rockies')","('Pittsburgh Pirates', '30+ SB Season')","('Texas Rangers', 'Houston Astros')","('Texas Rangers', 'Colorado Rockies')","('Texas Rangers', '30+ SB Season')","('All Star', 'Houston Astros')","('All Star', 'Colorado Rockies')","('All Star', '30+ SB Season')"
158,"('Los Angeles Angels', 'Detroit Tigers')","('Los Angeles Angels', 'New York Mets')","('Los Angeles Angels', '40+ Save Season Pitching')","('San Diego Padres', 'Detroit Tigers')","('San Diego Padres', 'New York Mets')","('San Diego Padres', '40+ Save Season Pitching')","('New York Yankees', 'Detroit Tigers')","('New York Yankees', 'New York Mets')","('New York Yankees', '40+ Save Season Pitching')"
159,"('St. Louis Cardinals', 'Milwaukee Brewers')","('St. Louis Cardinals', 'Oakland Athletics')","('St. Louis Cardinals', '200+ K Season Pitching')","('Baltimore Orioles', 'Milwaukee Brewers')","('Baltimore Orioles', 'Oakland Athletics')","('Baltimore Orioles', '200+ K Season Pitching')","('Minnesota Twins', 'Milwaukee Brewers')","('Minnesota Twins', 'Oakland Athletics')","('Minnesota Twins', '200+ K Season Pitching')"
160,"('Gold Glove', 'All Star')","('Gold Glove', 'Atlanta Braves')","('Gold Glove', 'Hall of Fame')","('Los Angeles Dodgers', 'All Star')","('Los Angeles Dodgers', 'Atlanta Braves')","('Los Angeles Dodgers', 'Hall of Fame')","('.300+ AVG Season Batting', 'All Star')","('.300+ AVG Season Batting', 'Atlanta Braves')","('.300+ AVG Season Batting', 'Hall of Fame')"
161,"('Arizona Diamondbacks', 'Boston   Red Sox')","('Arizona Diamondbacks', 'Toronto  Blue Jays')","('Arizona Diamondbacks', 'Houston Astros')","('Cleveland Guardians', 'Boston   Red Sox')","('Cleveland Guardians', 'Toronto  Blue Jays')","('Cleveland Guardians', 'Houston Astros')","('Kansas City Royals', 'Boston   Red Sox')","('Kansas City Royals', 'Toronto  Blue Jays')","('Kansas City Royals', 'Houston Astros')"
162,"('Chicago  White Sox', 'Pittsburgh Pirates')","('Chicago  White Sox', '200+ K Season Pitching')","('Chicago  White Sox', '.300+ AVG Season Batting')","('Washington Nationals', 'Pittsburgh Pirates')","('Washington Nationals', '200+ K Season Pitching')","('Washington Nationals', '.300+ AVG Season Batting')","('Kansas City Royals', 'Pittsburgh Pirates')","('Kansas City Royals', '200+ K Season Pitching')","('Kansas City Royals', '.300+ AVG Season Batting')"
163,"('San Francisco Giants', 'New York Mets')","('San Francisco Giants', '300+ Wins Career Pitching')","('San Francisco Giants', '300+ Save Career Pitching')","('Atlanta Braves', 'New York Mets')","('Atlanta Braves', '300+ Wins Career Pitching')","('Atlanta Braves', '300+ Save Career Pitching')","('Philadelphia Phillies', 'New York Mets')","('Philadelphia Phillies', '300+ Wins Career Pitching')","('Philadelphia Phillies', '300+ Save Career Pitching')"
164,"('Los Angeles Dodgers', 'New York Yankees')","('Los Angeles Dodgers', 'Cincinnati Reds')","('Los Angeles Dodgers', 'Rookie of the Year')","('Boston   Red Sox', 'New York Yankees')","('Boston   Red Sox', 'Cincinnati Reds')","('Boston   Red Sox', 'Rookie of the Year')","('Chicago Cubs', 'New York Yankees')","('Chicago Cubs', 'Cincinnati Reds')","('Chicago Cubs', 'Rookie of the Year')"
165,"('Texas Rangers', 'Tampa Bay Rays')","('Texas Rangers', 'Gold Glove')","('Texas Rangers', 'Hall of Fame')","('Baltimore Orioles', 'Tampa Bay Rays')","('Baltimore Orioles', 'Gold Glove')","('Baltimore Orioles', 'Hall of Fame')","('San Diego Padres', 'Tampa Bay Rays')","('San Diego Padres', 'Gold Glove')","('San Diego Padres', 'Hall of Fame')"
166,"('Detroit Tigers', 'Philadelphia Phillies')","('Detroit Tigers', 'Silver Slugger')","('Detroit Tigers', 'MVP')","('St. Louis Cardinals', 'Philadelphia Phillies')","('St. Louis Cardinals', 'Silver Slugger')","('St. Louis Cardinals', 'MVP')","('Los Angeles Dodgers', 'Philadelphia Phillies')","('Los Angeles Dodgers', 'Silver Slugger')","('Los Angeles Dodgers', 'MVP')"
167,"('30+ HR / 30+ SB Season Batting', '200+ Hits Season Batting')","('30+ HR / 30+ SB Season Batting', '40+ HR Season Batting')","('30+ HR / 30+ SB Season Batting', '100+ RBI Season Batting')","('Gold Glove', '200+ Hits Season Batting')","('Gold Glove', '40+ HR Season Batting')","('Gold Glove', '100+ RBI Season Batting')","('3000+ Hits Career Batting', '200+ Hits Season Batting')","('3000+ Hits Career Batting', '40+ HR Season Batting')","('3000+ Hits Career Batting', '100+ RBI Season Batting')"
168,"('Miami Marlins', 'New York Yankees')","('Miami Marlins', 'Cleveland Guardians')","('Miami Marlins', 'Silver Slugger')","('Los Angeles Angels', 'New York Yankees')","('Los Angeles Angels', 'Cleveland Guardians')","('Los Angeles Angels', 'Silver Slugger')","('Oakland Athletics', 'New York Yankees')","('Oakland Athletics', 'Cleveland Guardians')","('Oakland Athletics', 'Silver Slugger')"
169,"('Toronto  Blue Jays', 'Detroit Tigers')","('Toronto  Blue Jays', '20+ Win Season Pitching')","('Toronto  Blue Jays', 'Cy Young')","('Minnesota Twins', 'Detroit Tigers')","('Minnesota Twins', '20+ Win Season Pitching')","('Minnesota Twins', 'Cy Young')","('Baltimore Orioles', 'Detroit Tigers')","('Baltimore Orioles', '20+ Win Season Pitching')","('Baltimore Orioles', 'Cy Young')"
170,"('Washington Nationals', 'Boston   Red Sox')","('Washington Nationals', 'Oakland Athletics')","('Washington Nationals', '30+ SB Season')","('Milwaukee Brewers', 'Boston   Red Sox')","('Milwaukee Brewers', 'Oakland Athletics')","('Milwaukee Brewers', '30+ SB Season')","('Houston Astros', 'Boston   Red Sox')","('Houston Astros', 'Oakland Athletics')","('Houston Astros', '30+ SB Season')"
171,"('Pittsburgh Pirates', 'Seattle Mariners')","('Pittsburgh Pirates', '.300+ AVG Career Batting')","('Pittsburgh Pirates', '200+ Hits Season Batting')","('Chicago  White Sox', 'Seattle Mariners')","('Chicago  White Sox', '.300+ AVG Career Batting')","('Chicago  White Sox', '200+ Hits Season Batting')","('Los Angeles Angels', 'Seattle Mariners')","('Los Angeles Angels', '.300+ AVG Career Batting')","('Los Angeles Angels', '200+ Hits Season Batting')"
172,"('New York Mets', 'Colorado Rockies')","('New York Mets', 'Kansas City Royals')","('New York Mets', '3000+ K Career Pitching')","('Atlanta Braves', 'Colorado Rockies')","('Atlanta Braves', 'Kansas City Royals')","('Atlanta Braves', '3000+ K Career Pitching')","('Los Angeles Dodgers', 'Colorado Rockies')","('Los Angeles Dodgers', 'Kansas City Royals')","('Los Angeles Dodgers', '3000+ K Career Pitching')"
173,"('New York Yankees', 'Cincinnati Reds')","('New York Yankees', '3000+ Hits Career Batting')","('New York Yankees', '200+ K Season Pitching')","('Cleveland Guardians', 'Cincinnati Reds')","('Cleveland Guardians', '3000+ Hits Career Batting')","('Cleveland Guardians', '200+ K Season Pitching')","('Detroit Tigers', 'Cincinnati Reds')","('Detroit Tigers', '3000+ Hits Career Batting')","('Detroit Tigers', '200+ K Season Pitching')"
174,"('All Star', 'Texas Rangers')","('All Star', 'San Francisco Giants')","('All Star', 'Chicago Cubs')","('MVP', 'Texas Rangers')","('MVP', 'San Francisco Giants')","('MVP', 'Chicago Cubs')","('.300+ AVG Season Batting', 'Texas Rangers')","('.300+ AVG Season Batting', 'San Francisco Giants')","('.300+ AVG Season Batting', 'Chicago Cubs')"
175,"('San Diego Padres', 'New York Yankees')","('San Diego Padres', '40+ HR Season Batting')","('San Diego Padres', '100+ RBI Season Batting')","('St. Louis Cardinals', 'New York Yankees')","('St. Louis Cardinals', '40+ HR Season Batting')","('St. Louis Cardinals', '100+ RBI Season Batting')","('Philadelphia Phillies', 'New York Yankees')","('Philadelphia Phillies', '40+ HR Season Batting')","('Philadelphia Phillies', '100+ RBI Season Batting')"
176,"('Los Angeles Angels', 'Toronto  Blue Jays')","('Los Angeles Angels', '30+ SB Season')","('Los Angeles Angels', 'Gold Glove')","('Chicago  White Sox', 'Toronto  Blue Jays')","('Chicago  White Sox', '30+ SB Season')","('Chicago  White Sox', 'Gold Glove')","('Los Angeles Dodgers', 'Toronto  Blue Jays')","('Los Angeles Dodgers', '30+ SB Season')","('Los Angeles Dodgers', 'Gold Glove')"
177,"('Baltimore Orioles', 'New York Yankees')","('Baltimore Orioles', 'Arizona Diamondbacks')","('Baltimore Orioles', 'Rookie of the Year')","('San Francisco Giants', 'New York Yankees')","('San Francisco Giants', 'Arizona Diamondbacks')","('San Francisco Giants', 'Rookie of the Year')","('Kansas City Royals', 'New York Yankees')","('Kansas City Royals', 'Arizona Diamondbacks')","('Kansas City Royals', 'Rookie of the Year')"
178,"('St. Louis Cardinals', 'Boston   Red Sox')","('St. Louis Cardinals', '200+ Hits Season Batting')","('St. Louis Cardinals', 'Hall of Fame')","('Detroit Tigers', 'Boston   Red Sox')","('Detroit Tigers', '200+ Hits Season Batting')","('Detroit Tigers', 'Hall of Fame')","('San Francisco Giants', 'Boston   Red Sox')","('San Francisco Giants', '200+ Hits Season Batting')","('San Francisco Giants', 'Hall of Fame')"
179,"('Cincinnati Reds', 'Minnesota Twins')","('Cincinnati Reds', 'Atlanta Braves')","('Cincinnati Reds', '200+ K Season Pitching')","('Texas Rangers', 'Minnesota Twins')","('Texas Rangers', 'Atlanta Braves')","('Texas Rangers', '200+ K Season Pitching')","('Los Angeles Angels', 'Minnesota Twins')","('Los Angeles Angels', 'Atlanta Braves')","('Los Angeles Angels', '200+ K Season Pitching')"
180,"('Washington Nationals', 'Cleveland Guardians')","('Washington Nationals', 'Houston Astros')","('Washington Nationals', 'All Star')","('Milwaukee Brewers', 'Cleveland Guardians')","('Milwaukee Brewers', 'Houston Astros')","('Milwaukee Brewers', 'All Star')","('New York Mets', 'Cleveland Guardians')","('New York Mets', 'Houston Astros')","('New York Mets', 'All Star')"
181,"('Hall of Fame', 'Atlanta Braves')","('Hall of Fame', 'Cleveland Guardians')","('Hall of Fame', 'Kansas City Royals')","('All Star', 'Atlanta Braves')","('All Star', 'Cleveland Guardians')","('All Star', 'Kansas City Royals')","('20+ Win Season Pitching', 'Atlanta Braves')","('20+ Win Season Pitching', 'Cleveland Guardians')","('20+ Win Season Pitching', 'Kansas City Royals')"
182,"('New York Mets', 'Oakland Athletics')","('New York Mets', 'St. Louis Cardinals')","('New York Mets', '300+ Save Career Pitching')","('Los Angeles Angels', 'Oakland Athletics')","('Los Angeles Angels', 'St. Louis Cardinals')","('Los Angeles Angels', '300+ Save Career Pitching')","('Miami Marlins', 'Oakland Athletics')","('Miami Marlins', 'St. Louis Cardinals')","('Miami Marlins', '300+ Save Career Pitching')"
183,"('Philadelphia Phillies', 'Pittsburgh Pirates')","('Philadelphia Phillies', 'Chicago  White Sox')","('Philadelphia Phillies', 'Silver Slugger')","('Cleveland Guardians', 'Pittsburgh Pirates')","('Cleveland Guardians', 'Chicago  White Sox')","('Cleveland Guardians', 'Silver Slugger')","('Texas Rangers', 'Pittsburgh Pirates')","('Texas Rangers', 'Chicago  White Sox')","('Texas Rangers', 'Silver Slugger')"
184,"('Atlanta Braves', 'Houston Astros')","('Atlanta Braves', '.300+ AVG Career Batting')","('Atlanta Braves', '500+ HR Career Batting')","('Los Angeles Dodgers', 'Houston Astros')","('Los Angeles Dodgers', '.300+ AVG Career Batting')","('Los Angeles Dodgers', '500+ HR Career Batting')","('New York Yankees', 'Houston Astros')","('New York Yankees', '.300+ AVG Career Batting')","('New York Yankees', '500+ HR Career Batting')"
185,"('Toronto  Blue Jays', 'Cincinnati Reds')","('Toronto  Blue Jays', 'Milwaukee Brewers')","('Toronto  Blue Jays', 'Minnesota Twins')","('Tampa Bay Rays', 'Cincinnati Reds')","('Tampa Bay Rays', 'Milwaukee Brewers')","('Tampa Bay Rays', 'Minnesota Twins')","('MVP', 'Cincinnati Reds')","('MVP', 'Milwaukee Brewers')","('MVP', 'Minnesota Twins')"
186,"('Oakland Athletics', 'Kansas City Royals')","('Oakland Athletics', '30+ SB Season')","('Oakland Athletics', '200+ Hits Season Batting')","('Chicago Cubs', 'Kansas City Royals')","('Chicago Cubs', '30+ SB Season')","('Chicago Cubs', '200+ Hits Season Batting')","('Baltimore Orioles', 'Kansas City Royals')","('Baltimore Orioles', '30+ SB Season')","('Baltimore Orioles', '200+ Hits Season Batting')"
187,"('Seattle Mariners', 'New York Mets')","('Seattle Mariners', 'Gold Glove')","('Seattle Mariners', '100+ RBI Season Batting')","('Boston   Red Sox', 'New York Mets')","('Boston   Red Sox', 'Gold Glove')","('Boston   Red Sox', '100+ RBI Season Batting')","('Washington Nationals', 'New York Mets')","('Washington Nationals', 'Gold Glove')","('Washington Nationals', '100+ RBI Season Batting')"
188,"('Cy Young', 'Hall of Fame')","('Cy Young', 'All Star')","('Cy Young', 'Gold Glove')","('Silver Slugger', 'Hall of Fame')","('Silver Slugger', 'All Star')","('Silver Slugger', 'Gold Glove')","('Rookie of the Year', 'Hall of Fame')","('Rookie of the Year', 'All Star')","('Rookie of the Year', 'Gold Glove')"
189,"('Los Angeles Angels', 'Philadelphia Phillies')","('Los Angeles Angels', 'Colorado Rockies')","('Los Angeles Angels', '.300+ AVG Season Batting')","('Cleveland Guardians', 'Philadelphia Phillies')","('Cleveland Guardians', 'Colorado Rockies')","('Cleveland Guardians', '.300+ AVG Season Batting')","('Baltimore Orioles', 'Philadelphia Phillies')","('Baltimore Orioles', 'Colorado Rockies')","('Baltimore Orioles', '.300+ AVG Season Batting')"
190,"('Detroit Tigers', 'Houston Astros')","('Detroit Tigers', 'St. Louis Cardinals')","('Detroit Tigers', 'All Star')","('Minnesota Twins', 'Houston Astros')","('Minnesota Twins', 'St. Louis Cardinals')","('Minnesota Twins', 'All Star')","('Toronto  Blue Jays', 'Houston Astros')","('Toronto  Blue Jays', 'St. Louis Cardinals')","('Toronto  Blue Jays', 'All Star')"
191,"('San Diego Padres', 'Toronto  Blue Jays')","('San Diego Padres', 'Milwaukee Brewers')","('San Diego Padres', '200+ K Season Pitching')","('Chicago Cubs', 'Toronto  Blue Jays')","('Chicago Cubs', 'Milwaukee Brewers')","('Chicago Cubs', '200+ K Season Pitching')","('San Francisco Giants', 'Toronto  Blue Jays')","('San Francisco Giants', 'Milwaukee Brewers')","('San Francisco Giants', '200+ K Season Pitching')"
192,"('Arizona Diamondbacks', 'New York Yankees')","('Arizona Diamondbacks', 'New York Mets')","('Arizona Diamondbacks', '3000+ K Career Pitching')","('Texas Rangers', 'New York Yankees')","('Texas Rangers', 'New York Mets')","('Texas Rangers', '3000+ K Career Pitching')","('Hall of Fame', 'New York Yankees')","('Hall of Fame', 'New York Mets')","('Hall of Fame', '3000+ K Career Pitching')"
193,"('Cincinnati Reds', 'Los Angeles Angels')","('Cincinnati Reds', '20+ Win Season Pitching')","('Cincinnati Reds', '30+ SB Season')","('Pittsburgh Pirates', 'Los Angeles Angels')","('Pittsburgh Pirates', '20+ Win Season Pitching')","('Pittsburgh Pirates', '30+ SB Season')","('San Francisco Giants', 'Los Angeles Angels')","('San Francisco Giants', '20+ Win Season Pitching')","('San Francisco Giants', '30+ SB Season')"
194,"('Boston   Red Sox', 'Minnesota Twins')","('Boston   Red Sox', 'San Diego Padres')","('Boston   Red Sox', 'MVP')","('Chicago  White Sox', 'Minnesota Twins')","('Chicago  White Sox', 'San Diego Padres')","('Chicago  White Sox', 'MVP')","('Baltimore Orioles', 'Minnesota Twins')","('Baltimore Orioles', 'San Diego Padres')","('Baltimore Orioles', 'MVP')"
195,"('200+ Hits Season Batting', 'Rookie of the Year')","('200+ Hits Season Batting', '40+ HR Season Batting')","('200+ Hits Season Batting', '500+ HR Career Batting')","('Cleveland Guardians', 'Rookie of the Year')","('Cleveland Guardians', '40+ HR Season Batting')","('Cleveland Guardians', '500+ HR Career Batting')","('Silver Slugger', 'Rookie of the Year')","('Silver Slugger', '40+ HR Season Batting')","('Silver Slugger', '500+ HR Career Batting')"
196,"('Kansas City Royals', 'Cincinnati Reds')","('Kansas City Royals', 'Tampa Bay Rays')","('Kansas City Royals', '100+ RBI Season Batting')","('San Francisco Giants', 'Cincinnati Reds')","('San Francisco Giants', 'Tampa Bay Rays')","('San Francisco Giants', '100+ RBI Season Batting')","('Chicago  White Sox', 'Cincinnati Reds')","('Chicago  White Sox', 'Tampa Bay Rays')","('Chicago  White Sox', '100+ RBI Season Batting')"
